,9,10,11,12,13,14,15,16
0,3144,6456,12286,24914,47735,93669,116156,114040
1,3266,6407,12773,26160,51316,94270,115959,113943
2,2402,4601,9272,19005,36416,71717,92190,95064
3,3254,6229,12254,24673,47964,91780,114533,115013
4,2350,4673,9249,18606,38113,71634,100209,100732
5,3068,6125,12510,25043,49106,95893,116296,113655
6,3067,6196,12355,24681,47934,95428,114725,112675
7,3197,6578,12639,24967,49191,93545,116548,113190
8,3191,6241,12292,24989,50559,99624,116677,114562
9,2411,5069,9747,19358,37722,73069,94396,95720
10,2345,4566,9236,18755,36199,76196,97238,108125
11,2360,4567,9463,19237,36881,72986,99479,98181
12,3177,6371,12610,25267,49219,93863,116131,113833
13,3130,6319,12511,25415,48607,93886,115968,113197
14,3103,6135,12440,25078,49674,97148,120032,116130
15,2305,4479,9241,18548,36028,72051,97191,108808
16,2338,4503,9215,18576,36573,71680,95094,99215
17,2289,4795,9310,18759,36608,73956,97417,102486
18,3146,6305,12536,25454,50596,100112,116807,115236
19,2397,4997,9908,19614,37640,71193,95156,97018
20,3099,6279,12324,24684,47823,93002,115864,118816
21,3143,6166,12469,25291,48197,93181,117089,112909
22,2345,4497,9359,18645,36632,70631,95383,98623
23,2393,4986,9782,19192,37689,72967,95900,96609
24,3245,6329,12349,24492,47587,92402,116946,121784
25,3182,6444,12474,24875,50405,95564,115820,113438
26,3139,6089,12304,25634,50632,101339,116620,114878
27,3140,6374,12365,24852,48005,92249,114846,115657
28,3057,6204,12277,24899,48000,92492,114502,116527
29,3317,6412,12195,25113,50467,99680,117019,114018
30,2463,4742,9482,18771,37086,72941,95238,96773
31,2433,4639,9614,19205,37398,78329,101323,102181
32,3172,6162,12658,25114,48370,92959,115339,112924
33,3291,6030,12174,25166,49131,97169,128612,112425
34,2467,4778,9398,19004,37415,71805,93174,95742
35,2341,4651,9530,18871,36290,71852,101865,96572
36,2312,4834,9433,19014,36541,77468,98296,101519
37,3057,6241,12567,25351,50438,98280,116929,113958
38,2345,4697,9148,18800,36156,70126,95771,101774
39,2514,5053,9674,19219,39412,72186,95026,96673
40,2334,4737,9241,18585,36232,70349,93660,97736
41,2347,4629,9225,18488,36771,71246,96279,107361
42,2307,4576,9265,18723,36267,71228,92348,96899
43,2409,4622,9222,18766,36431,73104,91691,94470
44,2562,4633,9317,18651,36999,72654,92753,95742
45,2318,4969,9699,19140,37136,75202,97672,96483
46,3073,6183,12413,25152,49367,93882,116112,114248
47,2410,4525,9262,18634,35854,70434,97567,102922
48,3051,6328,12168,24951,49220,93315,115926,115390
49,3143,6429,12869,26164,51415,94374,116870,117169
50,3082,6400,12201,24868,49007,93248,116715,114020
51,2440,4681,9356,18851,37431,73299,94253,96124
52,2369,4499,9197,18226,36134,69964,94219,99551
53,2326,4800,9523,19279,36652,75553,98047,97323
54,3334,6151,12222,24812,49547,95736,130752,113383
55,2373,4606,9357,18684,36672,73176,91892,95867
56,3179,6758,13042,26390,51833,98404,116403,117284
57,3103,6185,12293,24784,47426,91942,114746,113111
58,2357,4630,9201,18361,36263,72075,92500,97312
59,2304,4623,9226,18403,37159,70562,95073,100853
60,2556,4843,9376,18926,38815,73510,92590,97077
61,3071,6109,12339,24689,47939,93792,117933,124096
62,2389,4690,9322,18635,36960,70876,93235,95111
63,2337,4745,9592,18957,36676,71261,98331,97016
