log2_bs,0.0,1.0,5.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,95.0,99.0,99.5,99.9,99.95,99.99,iops
9,0,569,1089,1417,1908,2441,3031,3686,4423,5406,6586,8454,10289,14614,16580,21364,24510,29229,6288.857038
10,0,577,1122,1466,1990,2473,2998,3555,4227,5144,6324,8224,10027,14483,16318,20316,22151,25034,6456.118129
11,0,518,1044,1384,1925,2473,3063,3751,4554,5603,6848,8847,10682,15138,17170,21102,22675,27131,6143.428552
12,0,514,1056,1400,1941,2473,3063,3686,4489,5472,6651,8585,10420,15007,16908,21364,23199,26345,6228.59238
13,0,806,1433,1843,2375,2899,3391,3948,4620,5406,6586,8454,10551,15007,16908,22151,23986,33423,5966.902207
14,0,897,1646,2072,2670,3162,3620,4145,4751,5472,6455,8224,10027,14614,16908,23724,28704,49545,5854.338189
15,0,2670,3817,4489,5275,5865,6455,7045,7700,8585,9633,11599,13697,19267,21889,29491,34340,73924,3629.879004
16,0,7503,9502,10420,11468,12517,13303,14352,15532,16908,19005,22937,26607,35913,39583,50593,54788,63700,1781.881208
9,0,432,929,1236,1794,2310,2834,3489,4227,5210,6455,8290,10158,14614,16580,21102,22937,56360,6533.782207
10,0,452,962,1302,1875,2441,2998,3620,4358,5275,6455,8290,10158,14483,16711,21102,22413,27131,6407.325934
11,0,346,864,1138,1744,2277,2867,3555,4358,5406,6717,8585,10551,14745,16580,20578,22675,25034,6386.881749
12,0,313,790,1036,1662,2244,2834,3522,4292,5341,6586,8454,10289,14483,16187,20316,21626,26345,6540.027996
13,0,342,888,1171,1990,2539,3096,3686,4358,5144,6324,8290,10289,14876,17170,21626,23724,27656,6414.58618
14,0,700,1482,1974,2637,3129,3620,4112,4685,5406,6455,8224,10027,14745,16908,23199,27394,50069,5891.936935
15,0,2637,3817,4489,5275,5865,6455,7045,7766,8585,9764,11730,13828,19267,21364,29229,33816,59506,3623.745875
16,0,7634,9502,10420,11599,12517,13434,14352,15532,16908,19005,22675,26607,36438,40108,46923,50593,55836,1780.373988
9,0,456,1073,1515,2277,3063,3883,4816,5865,7110,8716,11337,14090,20578,23724,30539,33816,41156,4804.445629
10,0,593,1220,1646,2441,3260,4145,5144,6193,7438,8978,11599,14352,20840,23199,29229,31850,36438,4601.413286
11,0,602,1236,1662,2473,3260,4112,5079,6127,7307,8847,11599,14352,20840,23724,31588,35389,42205,4636.212126
12,0,602,1204,1630,2375,3162,4014,4947,5996,7176,8716,11337,14090,20578,22937,28966,32374,39059,4751.441619
13,0,913,1581,2039,2768,3489,4227,5079,5996,7176,8716,11599,14614,21626,24510,32374,35913,41156,4552.048265
14,0,1003,1826,2342,3063,3751,4423,5144,6062,7110,8716,11468,14483,21102,24248,32374,36438,55836,4482.317256
15,0,2965,4554,5275,6193,6979,7766,8585,9502,10813,12386,15269,18219,26083,30015,37486,40632,49020,2880.941271
16,0,7897,10289,11337,12648,13959,15269,16580,18219,20316,23461,28442,34340,47972,55312,68681,72876,86507,1485.384795
9,0,522,1056,1384,1859,2342,2867,3489,4227,5210,6389,8224,10027,14352,16318,21102,23986,31588,6509.016366
10,0,569,1138,1499,2088,2637,3162,3751,4489,5341,6520,8355,10158,14614,16449,20840,23199,28180,6229.425686
11,0,522,1044,1368,1908,2441,3031,3751,4620,5603,6914,8847,10682,15007,16711,20840,22413,25296,6127.229092
12,0,536,1073,1417,1974,2506,3096,3751,4554,5537,6782,8716,10551,14876,16580,20578,22151,26345,6168.327722
13,0,774,1433,1826,2342,2867,3358,3915,4554,5406,6520,8454,10420,15007,17170,22937,24510,32636,5995.533482
14,0,995,1728,2179,2736,3227,3686,4227,4751,5472,6520,8355,10289,15007,17432,25559,29229,40632,5736.275457
15,0,2834,4046,4620,5341,5931,6520,7110,7766,8585,9764,11730,13828,19267,21626,27131,29491,39059,3579.175416
16,0,6324,9240,10158,11337,12255,13172,14221,15400,16908,18743,22413,26345,36962,41680,52166,57933,65273,1797.080195
9,0,610,1236,1646,2441,3227,4046,4947,5996,7176,8716,11468,14221,20578,23461,30277,32636,43253,4701.043299
10,0,464,1089,1531,2310,3129,3981,4947,6062,7241,8847,11599,14352,20840,23724,30277,33423,43253,4673.321779
11,0,585,1204,1630,2408,3227,4112,5079,6127,7241,8847,11468,14352,21102,23986,31326,33816,38535,4624.545848
12,0,626,1220,1679,2441,3260,4079,5013,6062,7241,8847,11468,14221,20840,23724,31064,34340,38535,4651.523232
13,0,757,1400,1875,2572,3260,3981,4751,5734,6848,8454,11206,13959,21102,23724,30015,32374,37486,4764.131449
14,0,700,1515,2146,2998,3719,4423,5210,6127,7241,8716,11468,14221,20840,24248,32899,40108,45875,4477.184094
15,0,684,2375,4227,5603,6455,7241,8093,8978,10158,11862,14483,17432,24772,28442,37486,41156,55312,3131.557896
16,0,1044,6193,9895,12124,13434,14745,16187,17694,19791,22937,28442,33816,46923,53739,70778,77070,88604,1573.947535
9,0,528,1073,1417,1925,2473,3096,3751,4554,5537,6782,8716,10682,15138,17170,21364,23199,27656,6136.395453
10,0,464,1036,1417,2039,2637,3227,3850,4620,5472,6651,8585,10551,15138,16908,21626,23461,27131,6125.529149
11,0,407,929,1253,1810,2342,2965,3653,4489,5537,6782,8716,10682,15007,16908,21102,22675,28704,6255.458151
12,0,436,970,1302,1892,2441,3031,3719,4489,5472,6717,8585,10420,14745,16580,20840,22937,26869,6260.824639
13,0,501,1171,1662,2244,2768,3293,3850,4489,5341,6520,8355,10289,14745,16908,21889,23986,28442,6138.29539
14,0,782,1564,2007,2605,3063,3555,4014,4620,5341,6324,8028,9895,14614,16908,23199,25821,41156,5993.366888
15,0,2605,3751,4423,5210,5865,6389,7045,7700,8585,9764,11730,13828,19267,21626,29491,34340,51642,3634.278857
16,0,6782,9240,10289,11468,12386,13303,14352,15532,17170,19267,23199,26869,36962,42205,54788,61079,70778,1775.874138
9,0,569,1089,1417,1941,2506,3096,3784,4554,5537,6782,8716,10551,15138,17170,21889,23986,32112,6134.186581
10,0,569,1138,1499,2088,2605,3162,3784,4489,5406,6586,8454,10420,14876,16908,20840,22413,26345,6196.720219
11,0,544,1056,1384,1925,2441,3063,3719,4554,5537,6782,8716,10551,14876,16711,20578,22413,27656,6177.627412
12,0,522,1073,1417,1974,2539,3096,3751,4554,5472,6717,8585,10551,14876,16580,20578,22675,26083,6170.39432
13,0,790,1433,1843,2375,2867,3358,3915,4554,5406,6586,8454,10551,14876,16908,22151,25296,31326,5991.833606
14,0,937,1613,2039,2605,3063,3555,4046,4620,5341,6324,8159,9895,14483,16908,22937,26083,38535,5964.267858
15,0,2965,4014,4620,5341,5931,6455,7110,7766,8585,9764,11599,13697,19791,22675,30015,35913,47972,3585.160989
16,0,7438,9502,10420,11599,12517,13434,14483,15663,17170,19267,22937,27131,37486,42205,55312,60555,64225,1760.549297
9,0,544,1056,1384,1859,2342,2899,3555,4358,5341,6586,8454,10289,14614,16318,20578,22675,26345,6395.920136
10,0,489,1036,1368,1925,2408,2932,3489,4177,5079,6258,8093,9895,14352,16318,20578,22413,27394,6578.547382
11,0,403,929,1236,1794,2342,2932,3620,4423,5472,6717,8716,10551,14745,16318,20054,21364,25559,6319.656011
12,0,448,987,1302,1892,2441,3063,3719,4489,5472,6717,8716,10551,14745,16449,20316,21889,26083,6241.858605
13,0,528,1171,1646,2244,2768,3293,3817,4489,5275,6455,8355,10289,15007,17170,22413,24772,32899,6148.961701
14,0,847,1613,2039,2670,3162,3620,4145,4751,5472,6455,8290,10158,14745,16908,23461,28442,54263,5846.605113
15,0,2670,3850,4489,5275,5865,6389,6979,7700,8585,9633,11599,13697,19005,21364,28180,34340,58458,3642.145262
16,0,7503,9371,10420,11599,12517,13434,14352,15532,17170,19267,22937,27131,36962,40632,48496,53215,74973,1768.607713
9,0,350,897,1220,1810,2375,2932,3620,4423,5341,6586,8454,10289,14745,16908,21364,23461,56360,6383.074462
10,0,493,1056,1433,2023,2572,3096,3719,4423,5341,6520,8454,10420,14745,16711,21364,23199,26869,6241.425286
11,0,509,1036,1368,1908,2441,3031,3719,4554,5537,6782,8716,10551,14745,16449,20840,22675,27131,6146.123592
12,0,452,978,1286,1859,2441,3031,3719,4489,5472,6717,8585,10420,14876,16711,21102,22675,27918,6247.258425
13,0,440,1036,1400,2113,2637,3162,3751,4423,5210,6324,8290,10289,14614,16580,21102,22675,25296,6319.989334
14,0,358,1003,1318,2310,2899,3424,3981,4554,5275,6324,8028,9895,14352,16318,22937,27394,36962,6226.525782
15,0,1957,3588,4292,5144,5799,6389,6979,7700,8585,9764,11730,13828,19529,22151,29229,32636,55836,3646.178461
16,0,5079,8978,10158,11337,12386,13303,14352,15532,16908,19005,22937,26869,36962,43253,54788,58458,62128,1790.040332
9,0,432,995,1449,2211,2998,3850,4816,5865,7045,8585,11337,14090,20578,23199,29753,31850,42205,4822.439252
10,0,362,872,1138,1892,2670,3555,4489,5603,6848,8454,11075,13959,20054,22675,27918,30015,33816,5069.29769
11,0,374,913,1253,2088,2932,3784,4751,5799,7045,8585,11337,14221,20840,23986,30801,33816,39583,4873.570881
12,0,395,962,1351,2179,2998,3883,4816,5931,7176,8716,11337,13828,20316,22937,29229,31850,36962,4839.705343
13,0,528,1187,1712,2506,3293,4046,4882,5799,6979,8585,11468,14352,21626,24510,30801,33816,38010,4715.342822
14,0,774,1548,2088,2899,3620,4358,5144,5996,7110,8716,11337,14090,21102,24510,31850,36962,43253,4566.847772
15,0,2998,4227,5013,6062,6848,7634,8454,9371,10551,12255,15138,18219,25559,28966,36962,39583,44302,2949.90167
16,0,7831,10027,11206,12648,13959,15269,16711,18481,20578,23724,28704,34340,47448,52166,67633,76021,81264,1495.633624
9,0,569,1187,1630,2375,3194,4046,5013,6062,7241,8847,11468,14352,20840,23724,29229,31850,35913,4691.410286
10,0,593,1236,1679,2441,3260,4145,5144,6193,7438,8978,11730,14483,20840,23461,30015,32112,44302,4566.795547
11,0,602,1236,1695,2473,3293,4145,5079,6127,7307,8847,11468,14352,20840,23461,30801,33816,47972,4618.092127
12,0,618,1236,1679,2441,3227,4079,5013,6062,7241,8716,11337,13959,20316,23199,29753,32112,36438,4688.943702
13,0,839,1564,2039,2768,3522,4227,5013,5996,7176,8847,11730,14745,21889,25034,31850,33816,38535,4524.915836
14,0,905,1646,2146,2834,3457,4079,4751,5603,6717,8224,10944,13697,20578,23724,31850,35913,47972,4762.307923
15,0,1044,3096,4751,5931,6782,7569,8355,9371,10420,11993,14614,17694,25296,29229,39059,43778,51118,3038.694841
16,0,561,1843,3653,11075,12779,14221,15663,17170,19267,22151,27131,32112,44826,49545,61079,67633,87556,1689.464387
9,0,610,1187,1597,2342,3162,4014,4947,5996,7176,8716,11468,14221,20840,23724,30801,34340,39583,4721.575947
10,0,528,1171,1630,2441,3260,4145,5079,6193,7438,8978,11730,14483,21102,23986,30277,33161,39583,4567.209946
11,0,460,1073,1548,2342,3194,4046,4947,5996,7176,8716,11337,13959,20316,23199,30015,32636,38535,4731.55123
12,0,481,1089,1531,2310,3096,3915,4816,5865,7045,8585,11206,13959,20316,23461,31064,33816,39583,4809.373021
13,0,684,1368,1892,2670,3424,4177,4947,5931,7110,8716,11599,14483,21626,24510,32374,34340,44302,4610.15198
14,0,536,1368,2039,2899,3653,4358,5144,6062,7176,8716,11337,14090,20840,24510,31326,35389,50593,4561.647945
15,0,440,1515,3457,5537,6520,7372,8224,9240,10420,12124,14876,17956,26083,29753,38535,41680,73924,3108.726085
16,0,4489,8978,10682,12386,13697,14876,16318,18219,20054,23199,28180,33423,47448,54263,67633,74973,95944,1534.082197
9,0,569,1089,1417,1892,2408,2965,3588,4358,5341,6586,8454,10289,14483,16449,20840,22675,28180,6354.697864
10,0,456,995,1351,1925,2473,3031,3653,4358,5275,6520,8355,10158,14483,16449,20578,22413,25821,6371.020966
11,0,403,929,1236,1810,2342,2932,3620,4489,5472,6717,8716,10551,14876,16580,20840,22675,26083,6305.056498
12,0,428,946,1253,1843,2408,2998,3653,4423,5406,6651,8585,10420,14745,16449,20840,22675,26607,6316.956101
13,0,501,1155,1630,2244,2768,3293,3850,4489,5275,6455,8454,10289,14876,17170,22413,25034,29753,6152.494917
14,0,741,1531,2007,2637,3129,3588,4112,4685,5406,6455,8290,10158,15007,17432,24772,28966,39059,5866.471118
