,9,10,11,12,13,14,15,16
0,10554,20245,44638,79592,70753,80543,81142,82140
1,9224,18934,34842,67751,67963,78589,82746,79632
2,16534,32203,64679,114816,112476,124742,122411,124431
3,8962,17853,35279,68107,68598,76879,81162,77573
4,9466,17801,33930,68170,69386,77953,82019,74719
5,9228,20908,36718,65341,69594,78821,79458,77540
6,15676,30562,55629,111849,107294,125690,125740,124633
7,9440,18007,36370,65400,68705,77914,78918,77602
8,10252,17351,34174,59345,70149,78749,81530,84841
9,11213,22996,43847,82267,69007,91264,86754,82473
10,9547,17799,33687,65669,68207,81842,79309,78427
11,10489,22837,43711,73860,79798,79034,85724,83242
12,9604,22347,42390,83312,70721,89696,87742,82102
13,15637,30183,56310,109778,117633,124321,130912,122054
14,16375,30635,59104,107758,113879,127951,129927,123615
15,16112,30713,55813,110108,108821,120750,124764,124288
16,9966,18391,34012,60644,68464,77168,79425,80841
17,9568,17890,33879,69110,69030,76842,81387,77603
18,10265,22705,38536,68916,76333,91851,79803,85061
19,15421,32308,59960,110169,111712,125829,137829,126094
20,10471,20028,37942,68876,68274,77635,81719,82615
21,15671,32908,60473,110054,113435,125039,131247,131570
22,15619,30412,60533,107120,110518,122357,125447,124002
23,15846,32515,61074,109744,109783,123541,123280,127239
24,9612,17909,33483,68226,69367,85580,86958,84487
25,17251,32315,60196,108912,110353,121293,119326,122155
26,11533,21214,37720,67827,68538,78694,81166,76933
27,15446,29932,60944,109729,112625,127386,130580,128774
28,11956,20157,37716,67110,68762,78759,83640,78280
29,12138,23334,34993,83343,81955,88341,89496,81012
30,9779,21052,42719,78887,84979,81693,88272,85656
31,17167,32573,60114,109858,120834,131549,136886,126286
32,16393,33917,62421,110148,108323,120526,124022,120879
33,10652,20984,38325,66833,69443,93331,82458,83369
34,9472,17813,35058,68062,71845,76708,79798,79131
35,9696,17768,34214,67983,68306,79779,80905,79378
36,15722,31369,61994,108902,110586,122852,124559,120477
37,10128,22738,42908,77666,83896,79325,79731,84500
38,16021,30506,59903,111447,113179,127652,126644,132439
39,15880,29615,55001,110658,116590,130105,131940,127247
40,16919,32962,61533,108541,107895,123285,125515,125093
41,17138,31918,62526,112397,115263,123411,124083,114723
42,9512,17730,38422,66940,67566,77022,79872,80291
43,10059,18629,37984,66116,67761,77815,80916,78356
44,10800,21833,44043,70228,76176,93539,90422,85363
45,17449,32871,59967,108697,108517,122655,131317,122804
46,16549,31887,65318,116155,115307,123425,126220,125020
47,10718,24408,49325,81211,76982,87954,88851,81974
48,10745,22767,40864,81178,84273,93389,89035,79606
49,8823,18249,40817,69091,76412,83543,88094,84239
50,9134,17566,38350,65585,68985,76236,85793,78064
51,15658,30244,61485,110449,109997,125882,131547,131949
52,15496,30299,61683,112350,115637,129117,129485,126319
53,9005,17850,34725,67012,71150,83745,80901,80633
54,15777,30038,58607,110775,114825,129749,134356,123465
55,16959,32164,63081,111206,112223,124797,125961,120386
56,9541,17870,34641,68107,68365,79481,83031,79041
57,9297,17370,34312,67294,68132,79772,82024,81501
58,12110,21645,45039,83855,77559,95010,91308,84177
59,9113,17845,41561,66888,68895,79206,80988,79908
60,9538,18001,34027,67334,69433,76323,79540,79489
61,15529,30471,61005,107997,111631,125229,132179,132049
62,10244,20079,42493,65851,68459,77164,81331,80082
63,9138,17999,33814,66603,68859,83618,81310,77554
