,9,10,11,12,13,14,15,16
0,4180,9645,8246,21469,13436,14507,14546,13922
1,2723,5063,7629,18150,14202,14558,14744,15798
2,2313,4303,7765,18231,13744,15547,15230,16477
3,3437,8084,7739,19754,12584,15246,14681,14343
4,4368,9450,8615,22407,12483,15111,14788,14130
5,3013,4650,8310,17773,14896,16412,14946,17257
6,2332,4224,7529,17732,13217,14570,13688,16505
7,4602,10011,7775,21559,12089,14713,14416,13814
8,2542,4409,7766,17894,13657,15418,14849,16078
9,3488,7726,7778,19625,12444,15599,14688,14117
10,3431,7412,7571,19508,12300,15528,14308,14386
11,2548,4344,7787,17633,13651,16017,15079,16870
12,2520,4372,7625,17758,13980,15289,15222,16595
13,3811,9135,8406,22308,12647,15228,15121,14157
14,2944,4543,8615,18873,14976,15080,14301,16383
15,4571,9199,9331,24473,12441,15038,14434,13420
16,4829,9976,9376,21819,13171,15453,14608,14432
17,3548,7814,7873,20758,12521,15900,15555,14585
18,3511,7734,7960,19262,12110,14898,14591,15014
19,2441,4227,7695,17792,13974,15475,14927,16651
20,3505,7778,7655,19282,12543,14857,14823,14460
21,2554,4981,9089,17991,13595,15333,14904,15621
22,2644,4307,7920,17730,13815,15875,15431,17157
23,2580,4255,7709,17877,13810,15323,14655,15909
24,2500,4251,7784,18151,13470,15279,15298,16372
25,3132,5141,9209,19523,14394,15508,14511,15602
26,2549,4289,7682,17729,13012,14722,14502,15800
27,3486,7836,7939,19074,12272,14915,14327,14306
28,4448,8920,8388,21526,12119,14826,14479,14337
29,2610,4336,7577,17894,13658,16041,15142,16114
30,2623,4186,7607,17412,13598,15036,14698,16057
31,3493,7909,7812,19462,12302,15269,14772,14260
32,2398,4202,7586,17778,13862,15702,15295,16931
33,2586,4945,8377,22385,13503,15255,14150,15458
34,3573,7827,7765,18758,11678,14739,14436,14117
35,3213,4865,8447,20944,15109,15438,15619,15849
36,3050,5054,8795,21847,14745,15365,14958,15466
37,4621,9170,8437,20287,12263,15525,14301,14623
38,3534,7625,7384,19518,12479,15652,15360,14594
39,4313,9355,7922,23531,11526,14939,14064,13675
40,2604,4286,7868,17652,13746,15669,14754,17104
41,2840,4884,8849,20613,14000,14853,14180,15585
42,3585,7666,7697,18753,12677,15676,14801,14326
43,4156,9743,8396,21304,12530,14296,14101,14043
44,2940,4794,8724,16969,12843,14826,14570,16233
45,2915,4474,8343,21250,14236,14989,14708,15615
46,3532,7698,7789,19479,12583,15611,15300,14626
47,2424,4310,7769,17532,13515,15842,15239,16145
48,2416,4415,7627,17632,14078,15600,15147,16209
49,3595,8985,8118,22906,12667,14225,14559,14042
50,2772,4635,8146,19793,12913,14818,15292,15771
51,3556,7876,7781,19317,12567,16016,14942,14640
52,3383,8023,7379,21201,12914,15657,14104,14628
53,3451,7907,7742,19739,12417,15660,14780,13825
54,2510,4237,7841,18275,13720,15684,15125,16013
55,4421,9849,8005,22971,12773,14855,13810,15234
56,3410,8267,7920,19314,12052,14641,14478,14132
57,2813,4819,9405,20501,14161,16027,14981,16415
58,3606,7632,7339,19651,12592,15154,15026,14512
59,3533,7728,7676,19828,12304,15146,14911,13777
60,3546,7659,7716,19474,12488,15358,14541,14127
61,2707,4736,8394,21381,14062,15379,14618,15246
62,2586,4417,7735,17914,14132,15721,15555,16293
63,3583,7763,7666,19271,11970,14773,15113,14146
