log2_bs,0.0,1.0,5.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,95.0,99.0,99.5,99.9,99.95,99.99,iops
9,0,216,236,254,284,321,370,806,856,888,913,946,978,1302,1843,2277,2375,4046,45090.363655
10,0,218,238,254,284,321,370,806,856,880,905,937,962,1011,1044,1613,1974,2342,45752.80824
11,0,224,244,261,292,329,382,823,864,888,913,946,970,1019,1044,1089,1122,1679,45106.296457
12,0,232,252,272,301,337,391,831,880,905,929,954,987,1036,1073,1646,1990,2342,44151.161628
13,0,254,276,296,329,370,428,905,946,978,1003,1036,1056,1138,1171,2072,2244,2736,40641.978601
14,0,284,313,333,370,411,477,995,1044,1073,1105,1155,1204,2146,2375,3031,3391,5537,35815.039499
15,0,325,358,382,419,468,552,757,1368,1433,1482,1548,1613,2146,2605,3227,3653,5275,28865.504483
16,0,428,468,497,544,602,708,970,1761,1859,1941,2056,2146,2342,2605,3391,3686,4554,22306.656445
