log2_bs,0.0,1.0,5.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,95.0,99.0,99.5,99.9,99.95,99.99,iops
14,0,1138,1155,1155,1171,1187,1204,1204,1220,1253,1269,1351,1449,1679,1875,5734,7110,8028,22391.286957
15,0,1990,2007,2039,2088,2146,2211,2244,2342,2572,2703,2801,2867,3063,4112,8093,8847,10813,11739.60868
16,0,3686,3751,3817,4046,4292,4489,4685,4751,4947,5210,5472,5603,7241,9895,10944,11206,11730,5980.233992
