,9,10,11,12,13,14,15,16
0,2143,4020,9890,16731,31351,62708,89833,92749
1,3098,7653,11707,25817,46723,93005,120281,118737
2,2011,4208,9500,16864,30813,64865,89239,93114
3,2017,4150,9353,16778,31166,65475,87996,93364
4,3141,7268,11837,26138,47675,92900,122006,117982
5,2009,4046,9180,17510,31741,65886,88779,93304
6,2050,4442,9865,16699,31001,63473,90435,91753
7,1980,4171,9377,17709,31465,63433,90033,92811
8,2026,4247,9292,16768,31406,64100,88405,92218
9,3177,7421,12092,26366,48434,94016,120036,118385
10,2158,4173,9148,17049,31464,65646,90193,91839
11,1990,4116,9355,17192,31060,65443,88307,94370
12,2156,4135,9414,16965,31635,65780,88265,93155
13,3126,7324,11624,26558,46908,93645,120609,119974
14,3109,7425,11533,26646,48224,94222,120848,120292
15,3353,7513,11785,25745,47172,95915,121814,117995
16,2001,3995,9238,16908,30685,65534,87796,93776
17,3267,7554,11607,25966,47460,94434,122553,118603
18,3185,7359,11550,25640,47295,93356,121845,118268
19,3109,7328,12077,26192,47056,96527,120655,118458
20,3098,7219,12100,26364,47274,93447,120846,119398
21,1976,4147,9950,17035,32824,63390,88441,92319
22,3212,7382,12028,25963,47141,95433,122015,118212
23,3146,7357,11758,25914,47616,95785,122162,117967
24,2139,4069,9466,16859,30667,65920,87722,92645
25,1954,4064,9529,16980,30823,63777,89959,93578
26,2019,4230,9514,17403,31850,65330,87893,91996
27,3129,7327,11981,26205,46940,93483,120813,117999
28,1992,4124,9426,16754,31269,64231,90116,91503
29,3090,7398,11694,25833,48497,93623,122998,118511
30,2045,4028,9740,16937,30438,63494,87671,92148
31,3173,7472,12574,25791,47492,93524,121703,120201
32,2021,4152,9770,17247,31211,65179,87598,93667
33,2146,3997,9153,17571,31799,63467,88506,92383
34,3147,7673,11565,25925,46680,92795,121813,119597
35,2016,4061,9547,16775,31721,64089,88433,91921
36,3209,7310,11603,26089,47073,96511,120957,117928
37,3128,7268,11674,26551,46661,93880,120381,120275
38,1958,4123,9688,17682,32087,65431,87902,91738
39,1976,4000,9672,17413,31176,64814,87956,92791
40,3168,7336,11492,25736,47460,92588,121693,119104
41,3185,7289,11819,26034,47315,93607,121176,119343
42,1934,4184,9517,16918,31054,64461,89335,92045
43,2113,4112,9491,17497,31318,65420,89203,91536
44,1952,4339,9447,16722,31396,65040,88449,92685
45,3198,7437,11659,25864,47332,93081,122186,117803
46,3159,7252,11667,26615,46805,93888,121459,118020
47,2014,4302,9248,16697,31362,64813,87596,92082
48,3179,7533,12148,25842,46784,95327,120272,119780
49,3229,7492,11597,25740,47489,94271,120689,119010
50,2035,3947,9436,16920,31691,65511,88065,92109
51,2035,4111,9511,17267,32402,63627,89935,93717
52,2101,4050,9256,18637,30503,65013,88574,92704
53,3074,7287,11648,26551,47165,92629,121405,118120
54,2075,4103,9423,17359,31078,63670,88658,93500
55,3093,7310,11715,25976,48064,94303,120371,117865
56,1977,4042,9371,16853,30873,65936,89087,92223
57,1984,4143,9377,16960,31260,64910,90687,93447
58,1942,4046,9366,17975,30767,62928,88660,92553
59,2155,4477,9634,16857,31870,63430,88629,93432
60,3143,7487,11888,26539,48010,95362,122793,118633
61,3215,7529,11681,26692,47282,93204,120099,119625
62,3152,7330,11544,25795,47005,93800,123142,118662
63,2005,4103,9410,16811,30398,63455,88145,92310
